idx,lat,lon,n,e,d,carla_lat,carla_lon
-1,63.41800548580956,10.402513613813895,0,0,0,0,0
0,63.4196186,10.40180017,179.8112585653292,-35.632316331568354,0.002630484816577905,0.0016151977897070763,-0.00032009054325601735
143,63.41970185,10.40234362,189.09080664000442,-8.490165120959183,0.0028048539837044473,0.0016985535576344243,-7.62684508246085e-05
224,63.41992748,10.40206095,214.24146623436926,-22.607648055663255,0.0036333398739714085,0.0019244753942903522,-0.00020308795758716767
286,63.42005315,10.40141842,228.2500746254488,-54.697652296282904,0.004312573102836836,0.0020503110816142522,-0.0004913573699623506
330,63.42033868,10.40112524,260.0779018777819,-69.33935508112378,0.005671349231207046,0.002336212179461634,-0.0006228860237546587
381,63.4207305,10.40070849,303.7539316440467,-90.15181021109356,0.007858787578499005,0.002728542600284648,-0.0008098474889328696
429,63.42109726,10.40018875,344.63688575614344,-116.10727292085502,0.010352614520513725,0.003095783548629175,-0.0010430093772008044
481,63.42139033,10.39948996,377.306361651511,-151.00437796456637,0.012927855319389892,0.00338924495743142,-0.001356495405096432
531,63.42153426,10.39900741,393.3512248668901,-175.1025426742696,0.014510298900944463,0.0035333717924717137,-0.0015729729015809381
585,63.42178817,10.39904356,421.654048183351,-173.29565059850793,0.016266949498884742,0.003787608696367297,-0.0015567413139189498
645,63.42199726,10.3993256,444.96022848820786,-159.20931869041854,0.01748198242924559,0.003996962055079496,-0.001430201641589249
687,63.42187653,10.39982462,431.50151444898756,-134.28883902733435,0.0159866558787769,0.0038760659257609303,-0.00120633716420499
731,63.4217117,10.40066998,413.12669721507666,-92.07193597222039,0.01402449890196067,0.003711009719496174,-0.0008270962720958784
769,63.4215643,10.4014904,396.6953499133608,-51.10003941970074,0.01252413885453052,0.003563411198383558,-0.0004590394636726098
807,63.4214112,10.40233421,379.6291547147634,-8.959604274976137,0.011289029725105593,0.00341011000365626,-8.048549448903641e-05
845,63.42124938,10.40314211,361.591493087353,31.387899395351884,0.010313076489836703,0.003248082378553507,0.00028196229724819537
882,63.42100716,10.40375147,334.5920813981526,61.82063497604902,0.009063303561788416,0.003005553682454404,0.000555344211972663
920,63.42072412,10.40428407,303.0427155293255,88.42045311529773,0.007800829372158091,0.00272215393082275,0.0007942944435398463
960,63.42044851,10.40480746,272.3217650365764,114.56079408282815,0.006831865746491417,0.002446195619149175,0.00102911712145207
1412,63.42016319,10.40522274,240.51843924263719,135.30232930102298,0.00596016881766559,0.00216051461153284,0.0012154415022241907
1458,63.41985377,10.40482967,206.02714916395752,115.67241728621926,0.004369204491467826,0.0018506883195435189,0.0010391030025763406
1499,63.41942352,10.4047688,158.06780878075125,112.63403239838618,0.0029479215801586633,0.0014198820329915573,0.00101180872677576
1538,63.41902796,10.40517192,113.97618645594257,132.76946833019957,0.0023951901765002503,0.0010238184522577867,0.0011926884250287979
1579,63.41863823,10.40561461,70.534648379885,154.88178398936682,0.0022649681604285377,0.0006335944093265097,0.0013913267359971112
1619,63.41825707,10.40603748,28.048493953509556,176.00470793568502,0.0024835067502610997,0.0002519523293468361,0.0015810771900012035
1655,63.41789699,10.40642637,-12.087871876998946,195.43084533866372,0.002997486053298637,-0.00010858221055661782,0.001755585151168369
1691,63.41753627,10.40679666,-52.29551966535648,213.9284469485987,0.0037921618702263515,-0.00046975705775607966,0.0019217519333994714
1731,63.4171763,10.40715898,-92.41948617909195,232.0284188297523,0.004877822330072945,-0.000830180217820443,0.002084346747007596
1783,63.4168039,10.40740925,-133.92933112957573,244.53216658934863,0.006079269746251725,-0.0012030523635918125,0.002196669824066708
1881,63.41644483,10.40777796,-173.95277276023316,262.95215367025264,0.0077748150468579524,-0.0015625725347651926,0.002362139383121778
1938,63.4162722,10.40852726,-193.19224056723456,300.3812188139862,0.009976303092969374,-0.0017353956723426358,0.0026983703955527124
1977,63.41623946,10.40937377,-196.83746246362728,342.66472643134693,0.012213413711393173,-0.001768139752980424,0.003078209606623592
1987,63.41621174,10.41028919,-199.92213922343424,388.3903201479818,0.01492271231995801,-0.0017958486023825922,0.00348896960317466
2070,63.41617166,10.41103769,-204.38503017728718,425.7785171651431,0.01744387974240169,-0.0018359375915920637,0.003824833490978763
2137,63.41587118,10.41136432,-237.87679239524311,442.0983474258181,0.019710840469699065,-0.002136785384658276,0.003971437020352951
2181,63.41548923,10.41133278,-280.4522989891476,440.52876507396917,0.02133020519785589,-0.0025192300919297554,0.003957337222208667
