idx,lat,lon,n,e,d,carla_lat,carla_lon
-1,63.23712602221217,9.532573212968634,0,0,0,0,0
0,63.23994017,9.561788790000001,314.0144543460154,1468.27189751815,0.17626915409600485,0.0028207102082625315,0.013189710849859922
313,63.23988466,9.560959215,307.80829528806436,1426.5831234075524,0.16653162829496182,0.002764961894875742,0.012815214220772796
371,63.239505460000004,9.560444100000002,265.529250832164,1400.7135705132466,0.15891546732524375,0.0023851802299179456,0.012582824073506606
403,63.23911199,9.559976315,221.6608193087657,1377.2227237780085,0.15214029453416344,0.0019911215141297707,0.012371802207202489
430,63.23872577,9.559493459999999,178.6003678693251,1352.973501413993,0.14561479429428914,0.0016043206733831721,0.012153967736723314
457,63.238332325,9.558981015,134.73415105958628,1327.2367911780502,0.13914564510932337,0.0012102818517920352,0.011922770935359404
483,63.237961675,9.558469644999999,93.40901809862574,1301.5523843715898,0.1331286731864907,0.0008390689258025123,0.011692043983696011
509,63.237581445000004,9.55791877,51.0154683400734,1273.8821975850126,0.12707777201219628,0.00045825868947922525,0.011443478466986559
536,63.237223119999996,9.557351579999999,11.063491274569792,1245.3903281693267,0.12127169615591615,9.938046591579917e-05,0.011187531649642927
565,63.236871179999994,9.556745145,-28.177269088992325,1214.924959529849,0.11546408890106186,-0.00025310908291088183,0.010913856587164157
592,63.236524855,9.556099920000001,-66.79257691628807,1182.508940712184,0.10967516496070573,-0.0005999803542047515,0.010622658536018912
617,63.236204985,9.55544564,-102.45890232942683,1149.6359628143941,0.10415388267171011,-0.0009203616831266265,0.010327355551620324
643,63.235889345000004,9.554742595,-137.65424021744616,1114.310994387762,0.09856288075545194,-0.0012365122535541655,0.010010025961566008
670,63.23558362,9.55399558,-171.7447489320765,1076.7747752713733,0.09295845745246822,-0.0015427384307423711,0.009672832368622482
694,63.23529938,9.553231535,-203.44026132811499,1038.3809859179878,0.08754028381541445,-0.0018274509786338844,0.009327935091178456
721,63.235032075,9.552427215,-233.2482762613499,997.9614338416925,0.08212425551950275,-0.0020952086275144977,0.008964840077599337
746,63.23478539,9.55162855,-260.75728316282004,957.8247033303134,0.0770508864980286,-0.00234231488492467,0.008604285693361184
770,63.234547625,9.550799595,-287.2719513684088,916.164452976573,0.07208466729892393,-0.002580489256330472,0.00823004529754116
795,63.23432685,9.549922715000001,-311.89293624535185,872.0939954553975,0.06707802707340704,-0.002801653162700669,0.007834153642386632
821,63.234124625,9.549027895,-334.4458670834764,827.1205520299349,0.06224451688746058,-0.0030042402772773712,0.007430150326851505
849,63.23394587,9.548139285000001,-354.3820024863925,782.4580027948758,0.0576992090224735,-0.003183321398754488,0.007028939821342405
878,63.233782215,9.54722705,-372.6346634580732,736.606954651304,0.053292592134909,-0.0033472803070729016,0.006617052848501094
905,63.23363303,9.546278735,-389.27415640575555,688.9413933925041,0.04897261453746182,-0.003496748546411087,0.006188865827035552
931,63.23350495,9.54531955,-403.5605768997609,640.7284634028837,0.04484726938215999,-0.0036250797476320585,0.00575576170860726
957,63.233398055,9.54437559,-415.48474231480435,593.2800005561681,0.04103410899369919,-0.0037321914256001104,0.005329524915356395
