idx,lat,lon,n,e,d,carla_lat,carla_lon
-1,63.266001440741846,9.595290033339918,0,0,0,0,0
0,63.239984070000006,9.561960445,-2899.608327847069,-1675.0250377693203,0.8776002927118043,-0.026046427790578114,-0.015047005906601798
176,63.239874905,9.56119713,-2911.7562936066415,-1713.392960285354,0.8932916205355923,-0.02615554980885913,-0.015391670818292692
244,63.24028339,9.56136222,-2866.2287341208485,-1705.0720270614117,0.8704729272392342,-0.02574658757791243,-0.01531692260346252
276,63.240683805,9.561760979999999,-2821.606835312009,-1685.0086743218528,0.8452850159210357,-0.025345760661379925,-0.015136690439541902
304,63.241100724999995,9.562157345,-2775.145009539382,-1665.065285678215,0.819703275828715,-0.024928406159262156,-0.014957535931428931
330,63.2415205,9.562542655,-2728.364540082981,-1645.67786354118,0.7945286470755946,-0.024508189363771644,-0.01478337575541255
356,63.241930545,9.562915969999999,-2682.6682059786563,-1626.894335026353,0.7703643544316492,-0.02409771107430344,-0.014614640448096895
382,63.242347445,9.563283425,-2636.2075169174527,-1608.4054355164856,0.7463407333534633,-0.023680366782968875,-0.014448551838160632
407,63.242763165,9.563643715000001,-2589.8780706179223,-1590.2771853972115,0.7228514486014319,-0.023264201411242906,-0.014285702996817739
432,63.24318411,9.56401498,-2542.966381247124,-1571.5976686321249,0.6993822837388279,-0.022842805901374937,-0.014117902042946006
456,63.24359821,9.564369695,-2496.817161305734,-1553.75070154849,0.6768125238536413,-0.022428259456170246,-0.01395758001010045
480,63.244007495000005,9.564710054999999,-2451.204202365186,-1536.6258305065196,0.6550053085394438,-0.022018530104122996,-0.013803744676354347
503,63.24443857,9.565061154999999,-2403.1625705637703,-1518.9606281101055,0.6325270218312653,-0.021586984615154767,-0.013645055463473001
526,63.244850285,9.56538764,-2357.278235036964,-1502.533809286646,0.6115456522729801,-0.021174817557783613,-0.013497490839488369
549,63.24527165,9.56571521,-2310.3181958307164,-1486.0524433279647,0.5905342328110237,-0.02075298773391343,-0.013349436210251659
573,63.245706425,9.56604924,-2261.863464616394,-1469.246283372347,0.5693064219307189,-0.020317731480313555,-0.013198463906902545
598,63.246128569999996,9.566364775,-2214.816033565784,-1453.3705566760227,0.5491896756846018,-0.01989511663822494,-0.0130558498277188
621,63.246554610000004,9.566674630000001,-2167.334235805001,-1437.7804905488774,0.5293757193742294,-0.01946859999290225,-0.012915801881085195
645,63.246973,9.566977985,-2120.7049270304965,-1422.5178467670903,0.5103086237743355,-0.01904974103451959,-0.012778695219419559
669,63.24739743,9.56728583,-2073.402389610439,-1407.0297565655198,0.4913501976252519,-0.018624834638234878,-0.012639563338110267
693,63.247820225,9.567579495,-2026.2817133624108,-1392.254641518584,0.4729925078448787,-0.018201561853579594,-0.012506836221578305
718,63.248257175,9.567892754999999,-1977.5835918291868,-1376.4947911149432,0.45431594046476675,-0.017764119288019818,-0.012365263076840988
742,63.248666130000004,9.56824411,-1932.0066765344104,-1358.8227905489043,0.4365864142530427,-0.017354713706672176,-0.012206512794962947
769,63.249075915000006,9.568681315,-1886.3389370127506,-1336.8380950199648,0.41830118563314045,-0.016944492274906246,-0.01200902091512852
793,63.249460385,9.569182524999999,-1843.4941065571943,-1311.6395658727565,0.40057235571600813,-0.01655962830140235,-0.011782658676734363
817,63.249821165,9.569748024999999,-1803.2909843586908,-1283.2128749000772,0.38332705722439187,-0.016198494106400018,-0.011527297367305412
842,63.250168114999994,9.570396525,-1764.6307993943155,-1250.6176802571983,0.3660708014226657,-0.015851219715450587,-0.011234489752339016
866,63.250482875,9.57108691,-1729.5591554822763,-1215.9203977527013,0.34978550966729927,-0.015536180255852242,-0.01092279876085182
890,63.2507713,9.571840615,-1697.42374780897,-1178.0438973503194,0.33407436375148336,-0.015247516243045713,-0.010582548369111386
913,63.251036615000004,9.57263589,-1667.8646023487934,-1138.0807029673624,0.31904984334801156,-0.01498199412394236,-0.010223552886436194
936,63.25130233,9.57348921,-1638.2613662029987,-1095.202234991511,0.30390063618779095,-0.014716075949672466,-0.009838369055537824
959,63.251550335,9.57426556,-1610.6303499317862,-1056.1918873921031,0.290310874660463,-0.014467873713812982,-0.009487933141141828
982,63.251826644999994,9.575036715,-1579.8437432154665,-1017.4421879997891,0.27633869572332515,-0.014191325629351886,-0.009139838669424749
1007,63.252139875,9.575782525,-1544.9409709081485,-979.9651923439374,0.26194755851406626,-0.013877803099476777,-0.008803177089878286
1030,63.252460915,9.576442205,-1509.165946230375,-946.8154703141561,0.2483997988391593,-0.01355644535331951,-0.008505388070647506
1052,63.252820490000005,9.57705996,-1469.0946521106866,-915.7713309358471,0.23453571700417797,-0.013196495335677497,-0.00822651382216889
1074,63.25319316,9.57759076,-1427.5622118786073,-889.0956122926389,0.2213528070421944,-0.012823420222365706,-0.007986881764774844
1097,63.25360599,9.578078015,-1381.5525012400142,-864.6067674209976,0.20787643366634256,-0.012410126952959455,-0.007766894728688409
1118,63.253995035,9.57846904,-1338.1925490315555,-844.9531434400337,0.19601697397763473,-0.012020635774666735,-0.007590343220824668
1142,63.254427140000004,9.578871265,-1290.032906290091,-824.7362282111442,0.1834683225721392,-0.011588030224103648,-0.007408731581593599
1164,63.25482171,9.579244025,-1246.0566284853835,-806.0010065223566,0.17234814750526084,-0.01119300275320754,-0.007240430221878937
1189,63.255229,9.57968296,-1200.6632059574931,-783.9419848331166,0.16091078875604126,-0.010785245439681762,-0.007042270658787341
1213,63.255611245,9.58019329,-1158.0621341426104,-758.2981268491367,0.14995181778755295,-0.01040257108667649,-0.006811907963393326
