idx,lat,lon,n,e,d,carla_lat,carla_lon
-1,63.237278211710354,9.532346294541249,0,0,0,0,0
0,63.239659665,9.502310125,265.803014252156,-1509.5266156265818,0.18368532795750525,0.0023876393755487687,-0.013560308287543272
195,63.23974048,9.503235645,274.78965762153734,-1463.008710092315,0.17325478526375093,0.0024683640566556353,-0.013142430832846231
427,63.239477335000004,9.50369416,245.44771229400814,-1439.9783026216428,0.16683260454446724,0.002204792989877789,-0.012935545162824162
468,63.239524005,9.504691175,250.62782055234206,-1389.8688041695277,0.1559472198473344,0.0022513245556766257,-0.012485403880046712
501,63.239530445,9.505672794999999,251.32477416931883,-1340.5350392166308,0.14544322871046234,0.0022575851088291426,-0.012042231129847276
531,63.239489315,9.506703665,246.71908126987574,-1288.7282490303448,0.13461400441360638,0.002216213366867016,-0.011576842816026452
557,63.23941144,9.50764408,238.02016973197303,-1241.46891430319,0.12493507484251154,0.002138073305999954,-0.011152304989577854
586,63.2392875,9.50860361,224.18693967574882,-1193.2505520509826,0.11525592292882436,0.0020138129966645124,-0.010719152072304535
615,63.239124425,9.509528925,205.99284180298633,-1146.7528987941369,0.10613645708592401,0.0018503801454388858,-0.010301456546910703
641,63.238933095,9.510435725,184.6502764185187,-1101.1863264601816,0.09747534117067858,0.0016586654290706316,-0.009892125063743316
667,63.238738885000004,9.511332435,162.98750100015445,-1056.126365028376,0.0892856766566581,0.0014640743492136926,-0.009487344543734753
692,63.238546485,9.512222665,141.52721029473042,-1011.39141269141,0.0815428526698696,0.001271302136892635,-0.009085483630095934
716,63.238353145000005,9.513111155,119.9627894068584,-966.743347516269,0.07419624216144172,0.0010775945502136328,-0.008684403237110661
741,63.23815725,9.513995300000001,98.11425549379912,-922.3131445732344,0.06726119967236599,0.0008813348500909513,-0.008285279933852058
766,63.23794528,9.514883489999999,74.47447225289793,-877.6795259591217,0.06066051658541127,0.0006689848229318603,-0.007884329316532357
791,63.23770422,9.51573723,47.59322603705911,-834.7775599280969,0.0546596665353718,0.00042751757656018944,-0.007498934399013182
815,63.237448145,9.51651459,19.03984304326016,-795.7142098098022,0.04953102269183596,0.00017102996022170773,-0.007148022354889707
840,63.237156765,9.517290405,-13.448333948222388,-756.7287449174177,0.04478493423233676,-0.00012080288765967055,-0.006797809965653699
865,63.236850364999995,9.518021130000001,-47.609743643140064,-720.009173559236,0.040708728780170844,-0.000427665949921491,-0.006467952444329569
891,63.23654555,9.518728379999999,-81.5938109508516,-684.4686959882139,0.03714990785262984,-0.0007329359916231854,-0.0061486869026951595
917,63.236238490000005,9.519489,-115.82826357061009,-646.2449884465555,0.03370226156751954,-0.0010404551794896979,-0.005805317496159302
943,63.235975575,9.520289125,-145.1419955753788,-606.0338876844132,0.030364220899357974,-0.0013037728133238754,-0.0054440950325926165
968,63.23575851,9.52115967,-169.34515597237527,-562.2815869163056,0.026963677001660358,-0.0015211835110135938,-0.00505106142817446
991,63.23558986,9.52206383,-188.1513965121135,-516.8381365331089,0.023656007854725658,-0.0016901150806763947,-0.004642835968307338
1016,63.23543765,9.523020285000001,-205.1248884685665,-468.7653170537127,0.020474231628227813,-0.0018425835462798042,-0.004210990484005332
1039,63.235279045,9.523946655,-222.81028710674698,-422.2042943211198,0.01782335561658499,-0.002001446884529001,-0.003792725700926172
1062,63.235085,9.524845845,-244.44518694801434,-377.0094213455762,0.01579078209501006,-0.002195787565323763,-0.003386733249901821
1086,63.234859924999995,9.525695715000001,-269.53796763824676,-334.2933825529558,0.01442498752176391,-0.002421189490830794,-0.0030030085451802978
1109,63.23462884,9.52654605,-295.3000908324566,-291.55336616225316,0.013472917630778625,-0.0026526039460403987,-0.002619068446030731
1133,63.23441752,9.52744208,-318.8587101384278,-246.51558908235927,0.012711027842840394,-0.0028642248986724063,-0.002214487211445802
1155,63.23426363,9.528320755,-336.0151891357118,-202.34912657749317,0.012040677205391148,-0.0030183370892919994,-0.001817733128850441
1181,63.234143575000004,9.529302040000001,-349.399881116995,-153.0241591097203,0.01138845831621893,-0.0031385682977078176,-0.0013746394078043842
1204,63.234052025,9.530286295,-359.6065031428233,-103.54938807706756,0.010962556248898636,-0.0032302517299246268,-0.0009301999784406898
1227,63.233956660000004,9.531268155,-370.2376045212039,-54.1947002602996,0.010961324210626344,-0.003325748149812447,-0.0004868392749574804
1249,63.233831359999996,9.532189509999998,-384.20466022121633,-7.881102291142824,0.011561521761422,-0.0034512105801150486,-7.079714634193456e-05
1273,63.23365717,9.53310059,-403.62059826133697,37.91646422895303,0.012866621164050684,-0.003625618903919192,0.0003406093929021518
1295,63.23346772,9.533984865,-424.73688161315323,82.36719998728213,0.014654083746336255,-0.0038153009876152476,0.0007399171455785544
1319,63.233276540000006,9.53492288,-446.045279563047,129.51993036745233,0.016887889553260038,-0.004006708786801319,0.0011634973288859602
1344,63.23312724,9.535851665,-462.68484413466246,176.20905151949847,0.01918771202471703,-0.004156177669518675,0.0015829128396442154
1369,63.233026179999996,9.53679599,-473.9465900489388,223.6794550788483,0.02149766979323431,-0.004257339005322201,0.0020093467296698505
1395,63.232971559999996,9.537792135,-480.03096642449464,273.75467286466034,0.023899571939892894,-0.004311993376533185,0.0024591800639828226
1420,63.23296719,9.53879166,-480.5134146047892,323.9994251366018,0.02628401065385333,-0.004316327083113504,0.002910536352494473
1445,63.23300453,9.539781665,-476.3459159665465,373.7650967637678,0.028686708627105872,-0.0042788915262812754,0.0033575889863567128
1468,63.233068255,9.54075145,-469.23676959060066,422.51382641790724,0.031195307003741846,-0.004215031912568824,0.0037955062750570797
1493,63.233144255,9.541762695,-460.7583441021144,473.3462642868913,0.03413836901927425,-0.004138872420563356,0.004252141833102337
1516,63.233215009999995,9.542704215,-452.864320902964,520.6735827368349,0.037251808757361005,-0.00406796246239446,0.004677290367722629
1539,63.23329571,9.543679815,-443.8607781955978,569.7136084558201,0.04080038455285262,-0.0039870859789278386,0.005117824413491978
1563,63.233390715,9.54465378,-433.2619937208215,618.6708667115835,0.044621273671140216,-0.003891879853383589,0.005557614946489939
