idx,lat,lon,n,e,d,carla_lat,carla_lon
-1,63.417215039491246,10.401252192299468,0,0,0,0,0
0,63.414577030000004,10.399244750000001,-294.05268196053817,-100.27752722901431,0.0075555153783568585,-0.0026413987964359785,-0.0009008083524075651
195,63.414849015,10.399743385,-263.7356835877763,-75.36855822491839,0.005889563804885256,-0.0023690690816398,-0.0006770472770321595
308,63.415074430000004,10.399139565,-238.60822304483463,-105.52999285455903,0.005327939264461179,-0.0021433556360316904,-0.0009479920538506467
885,63.415100405000004,10.398269509999999,-235.71110785714555,-148.99085938907092,0.006085191014918223,-0.0021173316034710037,-0.001338407660008824
935,63.415529455,10.398037599999999,-187.88510680564605,-160.5728213793484,0.0047794708014805565,-0.0016877230694712024,-0.001442450194626592
978,63.415968289999995,10.39785598,-138.96847842567792,-169.64236978308426,0.00376190268041654,-0.001248317713712898,-0.001523923334026923
1021,63.416405365,10.397639269999999,-90.24790704895729,-180.46438678913617,0.00318383858985527,-0.0008106734870453332,-0.0016211391667097978
1062,63.41684368,10.397422240000001,-41.3890744885402,-191.30204959465047,0.0029953211297346627,-0.00037178729610873117,-0.0017184955480003743
1101,63.417273345,10.3972066,6.505593022306415,-202.07001429668784,0.0031956913381789853,5.8438050843993104e-05,-0.0018152258205755296
1142,63.417712995,10.39698426,55.51333251635849,-213.1722303064671,0.003794070602292976,0.0004986618340537282,-0.0019149587237314069
1182,63.41813695,10.396770945,102.7715875553604,-223.82345991455193,0.004743592316323486,0.0009231704532216228,-0.0020106403471170844
1224,63.418580075,10.39654639,152.16676885179288,-235.03561034539672,0.00613168749795534,0.0013668745254179209,-0.0021113608079785556
1264,63.419004475,10.396334034999999,199.47470212924497,-245.6382439572035,0.007832495510157855,0.0017918293912868371,-0.0022066058861027926
1306,63.41943739,10.39609538,247.73193127224437,-257.5540263202799,0.00999080546827713,0.00222531153512513,-0.0023136471801468305
1352,63.419876265,10.395884930000001,296.6534404327527,-268.06073222663707,0.012507550761725383,0.002664760733666158,-0.002408030525032483
1401,63.420313035,10.395667425,345.3403770210602,-278.9194843190867,0.015418948828198609,0.0031021028277735284,-0.0025055763546106527
1457,63.4207453,10.395450295,393.5251870180845,-289.75922298898297,0.018688115426925833,0.003534934449250515,-0.002602951383708225
1516,63.42117596,10.395223135,441.5311771041963,-301.0995640867804,0.022350373665659617,0.003966159777956036,-0.0027048234009221773
1566,63.421606575,10.395000815,489.53217060486276,-312.1978524798573,0.02638137885557512,0.004397340223633477,-0.002804521021696964
1623,63.422048395000004,10.394845655000001,538.7818709563603,-319.94171902153096,0.03072893593659387,0.004839737478322472,-0.002874085358327821
1703,63.42210077,10.395618145,544.616399590159,-281.36314601973754,0.029410165644577546,0.0048921475322227966,-0.0025275281411298546
1754,63.421928754999996,10.39653161,525.4384889322941,-235.7463075396571,0.02595933774696846,0.004719877346512881,-0.0021177451094897036
1802,63.421768310000004,10.397448785,507.5509066044367,-189.94356680637642,0.022988368584179852,0.004559197844741518,-0.0017062920894978086
1877,63.421600825,10.39836963,488.87923512400073,-143.95706707619638,0.020331327616815997,0.004391475073954173,-0.0012931883343530715
2016,63.421767794999994,10.39902294,507.4897992969119,-111.32968612988532,0.021131813597776272,0.004558648933684244,-0.0010000915849039443
2538,63.421949764999994,10.399607655,527.7728076024056,-82.1282816327206,0.0223340532896259,0.004740845924267794,-0.0007377709054858866
2584,63.421746345,10.400489275,505.0970937588262,-38.100401199534915,0.02008660933145734,0.0045371558818732985,-0.0003422617268197832
2625,63.42158214,10.40141548,486.7932214928702,8.154701036042326,0.01855696013439001,0.0043727369558119395,7.325492568117605e-05
2664,63.42141805999999,10.40233317,468.503944672486,53.9850848275391,0.017411789160235003,0.004208449136843737,0.000484956267489686
2704,63.421227005,10.403227144999999,447.20843020323764,98.63172817289063,0.016417849269657836,0.004017157066614953,0.0008860238879606622
2746,63.42091829,10.403937070000001,412.7977793989147,134.08775590057635,0.014746147856726566,0.0037080551362631835,0.0012045308037459995
2796,63.420580135,10.40457778,375.1057147785748,166.08795435873083,0.013172166527226636,0.0033694771186795385,0.0014919934770523742
2891,63.420234965000006,10.40519506,336.63194963086613,196.91878975346657,0.011903387973092094,0.003023877288479193,0.0017689515832475277
2949,63.419835715,10.404822769999999,292.1271420537838,178.32797659616816,0.009167253470977244,0.002624102172041058,0.0016019474674410367
2994,63.419401385,10.404796655,243.7130472824284,177.0263744946631,0.007100123710927164,0.002189210945043995,0.0015902549768407324
3036,63.41899781,10.4052194,198.72847258803716,198.14294263257136,0.006161335329252893,0.0017851262053173386,0.0017799483356465268
3078,63.418597545,10.405672145,154.11310280197077,220.75845573020447,0.0056695873589234225,0.0013843579372990352,0.0019831069461077157
3116,63.418206975000004,10.40610559,110.57850705144403,242.41054847457195,0.005551514755097742,0.0009932979814704394,0.0021776110042969975
3153,63.417805085,10.406533215,65.78221550665813,263.7726413133861,0.005778413963721363,0.0005909045403282434,0.0023695099490143117
3193,63.417398590000005,10.406948455,20.47270273348579,284.5167722358765,0.00636168415871019,0.00018390096631486599,0.0025558576473948182
3245,63.416980894999995,10.407277725,-26.085524082643317,300.96751991290495,0.007135170237285493,-0.00023431948131506062,0.0027036372279280814
3315,63.41657283,10.407658205,-71.56996968285146,319.97654889196195,0.008405745096400352,-0.0006428944314359735,0.0028743982403769152
3438,63.41628979,10.40835204,-103.11628728464746,354.63669319712596,0.010665250233984125,-0.0009262668012773527,0.003185755613743711
3479,63.416243554999994,10.409335630000001,-108.26419964011296,403.7675667261708,0.013663610727981279,-0.0009725091596507726,0.0036271057592750008
3492,63.416194355,10.410293275,-113.74204414291482,451.6026906599389,0.016957798100172283,-0.0010217152127304245,0.004056815988163868
3549,63.41614951,10.41120892,-118.73405615351014,497.339996568164,0.020441943010830244,-0.0010665571588356806,0.004467681197121953
3607,63.415725965,10.411356555000001,-165.9447134725745,504.72183198617597,0.022072449516798542,-0.0014906382200594753,0.004533993352840121
3650,63.415281050000004,10.411337634999999,-215.53874728142077,503.78456807891,0.023479706279857737,-0.0019361285326785986,0.00452557376792009
3688,63.41483808,10.411381575,-264.9154771130523,505.98725031775234,0.02551085251531049,-0.0023796668601634634,0.004545360799105227
3724,63.414394855,10.41157248,-314.3194525784742,515.5313764541058,0.028513428483393,-0.0028234499280935512,0.00463109714280688
3773,63.413961115,10.411763285,-362.66612142178815,525.0706281243679,0.031851888034992726,-0.003257735485507906,0.004716789698434674
3843,63.413539165,10.411619835,-409.7012944429291,517.9123445452727,0.03411226693236813,-0.003680240216904549,0.004652485743050689
3900,63.413236005,10.410904434999999,-443.4995747024908,482.17985278495473,0.03357592250628727,-0.00398384138185224,0.004331495308608508
3936,63.41303654,10.410007305,-465.7400146355874,437.3665699464833,0.03193731369961483,-0.004183621471868122,0.0039289307401034965
3969,63.41291709,10.409062235,-479.06099264138305,390.1566908994141,0.02986823941321859,-0.004303280354206018,0.003504837181587366
4001,63.41289583,10.408063335000001,-481.43650019904976,340.2561251842524,0.02719726403978484,-0.004324618921029862,0.003056572773516939
4034,63.412965625,10.40707121,-473.66146352346465,290.6930144954909,0.024170988449185415,-0.004254777787868927,0.0026113397755215626
4064,63.413047070000005,10.40607999,-464.5870514852266,241.17525659397066,0.021445348012122167,-0.004173264703627162,0.0021665141885451934
4095,63.413109965000004,10.40512096,-457.5795114098675,193.26596874977864,0.019312163618366185,-0.004110317792898035,0.0017361377339145956
4127,63.41310875,10.40413977,-457.71752973618413,144.25020281232426,0.01802862804802885,-0.004111557575642365,0.0012958216174703354
4161,63.41300052,10.403171765,-469.78354572496744,95.89345252268033,0.017996869050961095,-0.0042199434604370725,0.0008614255393070271
4198,63.412827775,10.402246185,-489.0401685969991,49.65582457820999,0.018916202232389878,-0.0043929206975038375,0.0004460658610336586
4236,63.41270593,10.40130419,-502.62239338685765,2.597604239039697,0.019778416590099823,-0.004514926291785987,2.3334675868425452e-05
4281,63.412650725,10.40032571,-508.77566070824406,-46.28356544036126,0.020432588850866296,-0.004570199492453614,-0.0004157723418195358
4585,63.41265326,10.39936295,-508.4920319978237,-94.37941978880325,0.02093893004635561,-0.0045676517294835775,-0.0008478247518705741
4609,63.413080504999996,10.39914686,-460.867471350869,-105.17289627399181,0.017493126080950105,-0.004139852682268834,-0.0009447842006927155
4645,63.413525565,10.399006414999999,-411.2572002244059,-112.18715546503063,0.01422508071749462,-0.0036942165140468144,-0.001007794362987694
4682,63.41395921,10.398830865,-362.91925430657557,-120.95487817987407,0.011455186833984499,-0.0032600093124043584,-0.0010865561560970006
4722,63.41439891,10.398612565,-313.9062541267445,-131.85780757276777,0.009073615538923718,-0.0028197382738219044,-0.0011844988371166303
4777,63.414827564999996,10.398401275000001,-266.12439577846783,-142.4102912388437,0.007130140300986909,-0.002390526262249264,-0.0012792934106140034
4960,63.414953455,10.399137385,-252.09308707968435,-105.63933335641256,0.005847778508723422,-0.002264486663962716,-0.0009489742762891914
